lat,lng,name,vejnavn,husnr,postnr,postnrnavn,kommunekode
56.155787,10.20136,Mølleparken,Åboulevarden,100,8000,Aarhus C,0751
56.1585,10.205833,Klostertorv,Klostertorvet,10,8000,Aarhus C,0751
56.17001,10.220779,Risskov,Dronning Margrethes Vej,16,8200,Aarhus N,0751
56.129284,10.203796,Mindeparken,Carl Nielsens Vej,15B,8000,Aarhus C,0751
56.152705,10.201608,Ridehuset,Frederiks Allé,6A,8000,Aarhus C,0751
56.150825,10.204959,Banegårdspladsen,Banegårdspladsen,4A,8000,Aarhus C,0751
56.139098,10.207785,Tangkrogen,Strandvejen,19,8000,Aarhus C,0751
56.156581,10.209509,Sct. Clemens Torv,Skt. Clemens Torv,1,8000,Aarhus C,0751
55.657398,12.635994,Amager Strandvej - helårsåben,Amager Strandvej,168,2300,København S,0101
55.648857,12.639009,Kastrup Fort - sommeråben,Amager Strandvej,244,2300,København S,0101
55.651182,12.612627,Sundbyøster Plads legeplads - sommeråben,Smyrnavej,2,2300,København S,0101
55.651693,12.602246,Sundbyvesterparken - sommeråben,Englandsvej,57,2300,København S,0101
55.652399,12.597585,Remiseparken - sommeråben,Lygtemagerstien,23,2300,København S,0101
55.655613,12.588251,Ørestads Boulevard - helårsåben,Ørestads Boulevard,21,2300,København S,0101
55.654989,12.613828,Kirkegårdsvej/Højdevej - sommeråben,Højdevej,27C,2300,København S,0101
55.656333,12.602434,Sæterdalsgade legeplads - sommeråben,Sætersdalgade,13,2300,København S,0101
55.661405,12.611382,Rødegårdsparken legeplads - sommeråben,Rødegård,7,2300,København S,0101
55.657834,12.604344,Skotlands Plads legeplads - sommeråben,Skotlands Plads,1,2300,København S,0101
55.664068,12.598593,Norgesgade legeplads - sommeråben,Syvens Allé,5,2300,København S,0101
55.665472,12.579002,Gunløgsgade legeplads - sommeråben,Gunløgsgade,21,2300,København S,0101
55.66558,12.574582,Havneparken legeplads - sommeråben,Islands Brygge,20,2300,København S,0101
55.669151,12.595353,Christmas Møllers Plads - helårsåben,Ved Stadsgraven,2A,2300,København S,0101
55.67629,12.588519,Havnegade - helårsåben - midlertidig ude af drift,Havnegade,20,1058,København K,0101
55.67802,12.579925,Højbro Plads - sommeråben,Højbro Plads,10,1200,København K,0101
55.680494,12.587543,Nyhavn - helårsåben,Nyhavn,1F,1051,København K,0101
55.679992,12.575966,Gråbrødretorv - sommeråben,Gråbrødretorv,8,1154,København K,0101
55.679865,12.573477,Fiolstræde/Frue Plads - sommeråben,Fiolstræde,6,1171,København K,0101
55.68142,12.575494,Landemærket - helårsåben,Købmagergade,52A,1150,København K,0101
55.689116,12.59751,Churchillparken ved Gefion - helårsåben,Churchillparken,11,1263,København K,0101
55.686706,12.562137,Peblingesøen ved bådudlejningen - helårsåben,Peblinge Dossering,6,2200,København N,0101
55.694531,12.572844,Sortedams Dossering/Helgesensgade - helårsåben,Sortedam Dossering,65B,2100,København Ø,0101
55.697446,12.578037,Sortedams Dossering/Østerbrogade - helårsåben,Sortedam Dossering,101,2100,København Ø,0101
55.69874,12.575344,"Fælledparken, ved Trianglen - helårsåben - midlertidig pga. metrobyggeri",Blegdamsvej,35,2100,København Ø,0101
55.699695,12.57322,"Fælledparken, Sansehaven - sommeråben",Øster Allé,1E,2100,København Ø,0101
55.697452,12.569518,"Fælledparken, Tårnlegepladsen - sommeråben",Frederik V's Vej,4,2100,København Ø,0101
